name,direction,predicates,horizon_min,source_family,complexity,support,distinct_days,mean_fwd_return_pct,median_fwd_return_pct,win_rate,median_mfe_pct,median_mae_pct,mes_gross_expectancy_usd,mes_net_expectancy_usd,mes_median_mfe_pts,mes_median_mae_pts,wf_folds,wf_profitable_folds,wf_stability,wf_mean_return,wf_mean_win_rate,composite_score,neighbor_robust,day_concentration_ok,regime_concentration_ok,tod_bucket_count,max_day_contribution_pct,max_regime_contribution_pct,penalties,skip_expectancy_reduction,skip_chop_increase,skip_bad_entry_rate
D_zdiv_nope_high_SHORT_60m,SHORT,"[{'feature': 'zdiv_nope_state', 'op': 'eq', 'value': 'strong_pos'}]",60,divergence,1,237,14,0.1686,0.1639,0.6498,0.7554,0.1146,56.96,51.96,51.05,7.75,10,8,0.8,0.2084,0.7101,91.38,True,True,False,5,0.2699,0.9439,"{'drawdown': 3.8726, 'low_support': 0.42, 'regime_concentration': 12.8952}",,,
L_atm_straddle_pct_high_LONG_60m,LONG,"[{'feature': 'atm_straddle_pct', 'op': 'gt', 'value': 0.8}]",60,level,1,647,12,0.2214,0.2225,0.6569,0.6553,0.2686,74.82,69.82,44.29,18.15,10,5,0.5,0.2368,0.5881,74.706,True,True,False,6,0.3416,0.7741,"{'drawdown': 9.0751, 'regime_concentration': 6.5287}",,,
D_zdiv_vex_low_LONG_60m,LONG,"[{'feature': 'zdiv_vex_state', 'op': 'eq', 'value': 'strong_neg'}]",60,divergence,1,2200,14,0.0765,0.0235,0.5405,0.3442,0.2071,25.84,20.84,23.26,14.0,11,8,0.7273,0.137,0.6441,57.0766,True,True,True,7,0.2377,0.5438,{'drawdown': 6.9984},,,
D_zdiv_net_prem_high_SHORT_60m,SHORT,"[{'feature': 'zdiv_net_prem_state', 'op': 'eq', 'value': 'strong_pos'}]",60,divergence,1,258,14,0.0163,-0.043,0.4535,0.5891,0.2416,5.5,0.5,39.81,16.33,10,7,0.7,0.0105,0.4581,50.4395,True,True,True,6,0.2988,0.4748,"{'drawdown': 8.1639, 'low_support': 0.28}",,,
I_atm_avg_iv_q5_Q0_qqq_nope_gt_SHORT_60m,SHORT,"[{'feature': 'atm_avg_iv_q5', 'op': 'eq', 'value': 0}, {'feature': 'qqq_nope', 'op': 'gt', 'value': -35.50294078657242}]",60,interaction,2,8169,11,0.1301,0.1164,0.6619,0.32,0.1185,43.95,38.95,21.63,8.01,8,7,0.875,0.1965,0.6809,44.9965,True,True,False,7,0.2815,0.9065,"{'drawdown': 4.0042, 'regime_concentration': 11.4942}",,,
I_atm_avg_iv_q5_Q0_trin_gt_SHORT_60m,SHORT,"[{'feature': 'atm_avg_iv_q5', 'op': 'eq', 'value': 0}, {'feature': 'trin', 'op': 'gt', 'value': 0.89}]",60,interaction,2,5936,10,0.1946,0.1745,0.7394,0.2494,0.1308,65.76,60.76,16.86,8.84,8,6,0.75,0.2099,0.6979,43.9243,True,True,False,6,0.2922,0.9504,"{'drawdown': 4.4189, 'regime_concentration': 13.1399}",,,
SKIP_midday_chop_15m,SKIP,"[{'feature': 'pct_of_day', 'op': 'between', 'value': 0.25, 'value_hi': 0.55}, {'feature': 'efficiency_ratio', 'op': 'lt', 'value': 0.25}]",15,skip,2,7821,15,0.0991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9,0.8182,0.1394,0.0,30.2164,True,True,False,2,0.1066,0.8833,{'regime_concentration': 10.6243},0.168,0.6359,0.3464
SKIP_weak_gate_15m,SKIP,"[{'feature': 'structural_gate', 'op': 'lt', 'value': 0.2}]",15,skip,1,1029,15,0.1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,7,0.6364,0.0939,0.0,27.7152,True,True,False,7,0.1737,0.9017,{'regime_concentration': 11.3133},0.0491,0.8896,0.3508
SKIP_low_efficiency_15m,SKIP,"[{'feature': 'efficiency_ratio', 'op': 'lt', 'value': 0.15}]",15,skip,1,16147,15,0.1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,7,0.6364,0.0313,0.0,21.2253,True,True,False,7,0.0932,0.9178,{'regime_concentration': 11.9156},0.0246,0.7834,0.3093
